Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,Machine Failure(2),Machine Failure
0.11408614668218864,0.8447802197802197,0.8221343873517786,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4222222222222243,1.0,1
0.14086146682188594,0.8502747252747253,0.7549407114624506,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5555555555555611,1.0,1
0.04365541327124567,0.971153846153846,0.7667984189723319,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8222222222222215,1.0,1
0.05820721769499426,0.9010989010989011,0.7470355731225296,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6888888888888847,1.0,1
0.13795110593713622,0.5851648351648351,0.8181818181818181,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.35555555555555607,1.0,1
0.0989522700814901,0.8763736263736263,0.7667984189723319,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.22222222222223187,1.0,1
0.0960419091967405,0.864010989010989,0.8102766798418972,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33333333333332904,1.0,1
0.06752037252619325,0.8818681318681318,0.450592885375494,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1777777777777778,1.0,1
0.06752037252619325,0.8846153846153846,0.4387351778656126,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11111111111112226,1.0,1
0.0814901047729919,0.7390109890109889,0.7786561264822134,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0666666666666682,1.0,1
0.07566938300349246,0.8475274725274725,0.9051383399209486,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.044444444444453834,1.0,1
0.11466821885913858,0.8653846153846153,0.3162055335968379,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04444444444444118,1.0,1
0.05529685681024454,0.879120879120879,0.7786561264822134,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.044444444444453834,1.0,1
0.04074505238649595,0.6978021978021978,0.8932806324110671,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13333333333333663,1.0,1
0.090803259604191,0.6923076923076923,0.901185770750988,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13333333333333663,1.0,1
0.08032596041909201,0.7857142857142857,0.849802371541502,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17777777777779047,1.0,1
0.0547147846332946,0.9162087912087912,0.924901185770751,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4222222222222243,1.0,1
0.16647264260768335,0.7005494505494505,0.9999999999999999,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46666666666666545,1.0,1
0.13795110593713622,0.7884615384615384,0.7470355731225296,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3777777777777831,1.0,1
0.1443538998835856,0.7967032967032966,0.826086956521739,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.46666666666666545,1.0,1
0.09138533178114094,0.8049450549450549,0.8063241106719367,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8444444444444485,1.0,1
0.16938300349243307,0.7664835164835164,0.8181818181818181,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7555555555555533,1.0,1
0.09196740395809089,0.9835164835164836,0.6798418972332015,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6888888888888847,1.0,1
0.11233993015133881,0.8846153846153846,0.6798418972332015,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4444444444444384,1.0,1
0.13445867287543656,0.5851648351648351,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8222222222222215,1.0,1
0.19615832363213048,0.5755494505494505,0.5691699604743082,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7999999999999945,1.0,1
0.26658905704307334,0.37500000000000006,0.6561264822134387,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3777777777777831,1.0,1
0.2339930151338766,0.43543956043956045,0.7470355731225296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5111111111111066,1.0,1
0.16239813736903386,0.6401098901098901,0.5533596837944663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.46666666666666545,1.0,1
0.3020954598370198,0.3282967032967033,0.37549407114624506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333333333332904,1.0,1
0.2526193247962748,0.3914835164835165,0.007905138339920948,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.28888888888888764,1.0,1
0.10360884749708965,0.7884615384615384,0.6719367588932806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.44444444444445175,1.0,1
0.19266589057043082,0.4285714285714286,0.849802371541502,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4222222222222243,1.0,1
0.11001164144353903,0.7032967032967032,0.04743083003952569,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.44444444444445175,1.0,1
0.19848661233993015,0.4491758241758242,0.20553359683794464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3999999999999968,1.0,1
